종목코드,순위,종목명,시가총액(억원),종가,거래량_최근,MA5,MA20,MA비율(단기/장기)
001440,100,대한전선,61341,32900,5062238,4448823,5825297,0.764
011070,101,LG이노텍,60587,256000,190352,235459,258840,0.91
022100,102,포스코DX,58533,38500,495024,645926,1522800,0.424
088350,103,한화생명,57322,6600,92004259,40149589,14446922,2.779
088980,104,맥쿼리인프라,56656,11830,4991246,3158289,2037736,1.55
271560,105,오리온,55152,139500,160002,200500,186397,1.076
004020,106,현대제철,51977,38950,3651421,1699943,1263716,1.345
002380,107,KCC,51808,583000,26609,51874,37851,1.37
018880,108,한온시스템,50748,4945,44705069,74714635,37219118,2.007
036570,109,엔씨소프트,49982,232000,145054,192700,183737,1.049
251270,110,넷마블,49251,57300,123566,246880,274105,0.901
082740,111,한화엔진,47898,57400,753919,565345,748091,0.756
450080,112,에코프로머티,47274,67000,699193,1175488,1194459,0.984
066970,113,엘앤에프,46154,114700,333456,424348,674743,0.629
062040,114,산일전기,45695,149600,225774,263962,362152,0.729
031210,115,서울보증보험,43289,62000,188845,102812,87098,1.18
017800,116,현대엘리베이터,43079,110200,375449,560542,378735,1.48
036460,117,한국가스공사,42094,45600,1098969,477539,456944,1.045
011790,118,SKC,42033,111000,256006,228163,336798,0.677
051900,119,LG생활건강,41775,273000,81612,89338,87302,1.023
035250,120,강원랜드,41483,19390,728728,679196,727574,0.934
000990,121,DB하이텍,40459,93000,406478,366269,571439,0.641
001720,122,신영증권,39949,243000,89995,92072,56711,1.624
302440,123,SK바이오사이언스,38982,49700,119559,140745,173451,0.811
111770,124,영원무역,38462,86800,74294,114994,99127,1.16
004990,125,롯데지주,38239,36450,342287,619865,434673,1.426
011780,126,금호석유화학,37876,145500,90494,113728,114851,0.99
011170,127,롯데케미칼,36444,85200,271350,234696,239093,0.982
014680,128,한솔케미칼,34969,308500,51223,47969,76483,0.627
012750,129,에스원,34959,92000,55966,61922,60031,1.032
139130,130,iM금융지주,34775,21650,1017316,1166704,866704,1.346
001450,131,현대해상,34687,38800,2385925,1243925,745466,1.669
103590,132,일진전기,34381,72100,426993,487057,597501,0.815
004170,133,신세계,33902,351500,82679,96982,96568,1.004
097950,134,CJ제일제당,33269,221000,63780,88608,83637,1.059
000240,135,한국앤컴퍼니,32895,34650,344996,175425,133020,1.319
047040,136,대우건설,32418,7800,19862827,23415993,14236899,1.645
103140,137,풍산,32311,115300,384776,230023,338727,0.679
000120,138,CJ대한통운,31663,138800,90895,204550,164163,1.246
439260,139,대한조선,31398,81500,517042,248606,313993,0.792
023530,140,롯데쇼핑,31032,109700,184672,257381,214888,1.198
489790,141,한화비전,30797,61000,529717,1026643,1414370,0.726
00680K,142,미래에셋증권2우B,30752,22500,1610193,1852326,1650422,1.122
071970,143,HD현대마린엔진,30597,90200,354061,249012,309198,0.805
139480,144,이마트,30548,110700,298737,1029327,634568,1.622
009970,145,영원무역홀딩스,30440,225500,14823,21960,20908,1.05
457190,146,이수스페셜티케미컬,29639,98100,247041,332089,1098070,0.302
012510,147,더존비즈온,29167,96000,419849,255166,292863,0.871
026960,148,동서,29112,29200,111288,138851,109075,1.273
008930,149,한미사이언스,29100,42550,118034,319174,324496,0.984
