종목코드,순위,종목명,시가총액(억원),종가,거래량_최근,MA5,MA20,MA비율(단기/장기)
010820,438,퍼스텍,3277,6720,19215053,6624588,3033700,2.184
096760,439,JW홀딩스,3260,4410,347238,168219,226123,0.744
002900,440,TYM,3241,7830,507391,1180012,848423,1.391
006340,441,대원전선,3225,4185,23507779,6962709,4450022,1.565
241590,442,화승엔터프라이즈,3199,5280,159510,160034,216465,0.739
037710,443,광주신세계,3198,40200,18989,28792,22166,1.299
007160,444,사조산업,3185,63700,13518,13601,29492,0.461
244920,445,에이플러스에셋,3171,14030,145202,204762,172607,1.186
004360,446,세방,3138,16420,142894,81771,79538,1.028
001340,447,PKC,3130,6970,451744,369328,451808,0.817
009680,448,모토닉,3124,11140,51062,48413,41853,1.157
003720,449,삼영,3117,9170,6592098,10542680,3692599,2.855
030210,450,다올투자증권,3094,5080,1695781,1267645,520317,2.436
136490,451,선진,3072,12920,136009,144762,377896,0.383
009470,452,삼화전기,3068,46400,380826,259619,616003,0.421
003920,453,남양유업,3060,51000,6629,7853,13682,0.574
088260,454,이리츠코크렙,3037,4795,69499,83205,65810,1.264
02826K,455,삼성물산우B,3030,206500,10034,7123,9312,0.765
078520,456,에이블씨엔씨,3015,11590,140751,218702,206002,1.062
334890,457,이지스밸류플러스리츠,2961,4265,181592,226544,235783,0.961
900140,458,엘브이엠씨홀딩스,2956,1530,517152,745909,819734,0.91
033530,459,SJG세종,2943,10580,294845,305172,935604,0.326
033920,460,무학,2932,10290,84410,116015,74996,1.547
004560,461,현대비앤지스틸,2908,19290,3532968,1651672,1357685,1.217
011690,462,와이투솔루션,2893,7890,2708269,4909937,3367338,1.458
003547,463,대신증권2우B,2890,28900,115927,89658,54500,1.645
377190,464,디앤디플랫폼리츠,2886,3265,214978,301695,231296,1.304
000050,465,경방,2875,10490,197456,264854,1243824,0.213
001230,466,동국홀딩스,2874,9040,341457,244707,136683,1.79
108670,467,LX하우시스,2869,32000,21726,41344,35985,1.149
035150,468,백산,2863,14100,62392,54936,50075,1.097
000680,469,LS네트웍스,2844,3610,310368,365731,359343,1.018
013890,470,지누스,2786,12520,81374,62260,53862,1.156
058430,471,포스코스틸리온,2754,45900,89011,43352,45674,0.949
008490,472,서흥,2718,23500,21776,32313,30348,1.065
0030R0,473,대신밸류리츠,2717,4545,65641,50529,45359,1.114
122900,474,아이마켓코리아,2714,8120,65868,93226,65282,1.428
001630,475,종근당홀딩스,2665,53200,5360,5503,8915,0.617
003220,476,대원제약,2659,11860,22766,30860,43874,0.703
000390,477,삼화페인트,2646,9730,1295813,7050713,3005519,2.346
001130,478,대한제분,2641,156300,5320,5311,3958,1.342
007860,479,서연,2639,11240,258221,201682,206174,0.978
005500,480,삼진제약,2612,19610,35859,45580,35539,1.283
003070,481,코오롱글로벌,2603,10240,42135,63715,52107,1.223
044450,482,KSS해운,2599,11260,156961,120900,175987,0.687
000430,483,대원강업,2591,4180,143454,193445,178124,1.086
004980,484,성신양회,2586,10550,107905,79590,96163,0.828
001790,485,대한제당,2578,2875,502735,481631,371372,1.297
005010,486,휴스틸,2576,4585,1209096,606900,787146,0.771
035510,487,신세계 I&C,2575,18420,153644,147440,214184,0.688
226320,488,잇츠한불,2574,11740,12631,20574,25133,0.819
134380,489,미원화학,2518,114500,1597,1994,1559,1.279
051905,490,LG생활건강우,2509,119500,14666,14964,12928,1.157
013580,491,계룡건설,2500,28000,111521,199311,145195,1.373
404990,492,신한서부티엔디리츠,2500,4230,107599,126142,111496,1.131
210980,493,SK디앤디,2491,13380,236090,100551,47077,2.136
007570,494,일양약품,2490,13050,0,0,0,
053210,495,스카이라이프,2490,5240,68973,75105,64795,1.159
003650,496,미창석유,2480,142600,3466,4784,3478,1.376
028100,497,동아지질,2470,18450,39286,31979,56194,0.569
000520,498,삼일제약,2449,11290,605121,508873,775204,0.656
095570,499,AJ네트웍스,2448,5410,409248,468769,442315,1.06
000860,500,강남제비스코,2442,18790,35250,98993,93880,1.054
